Configuration,Hemisphere,Region Name,Metric,Statistic,p-value,p-value (corrected)
With T2 and MPRAGE Flag,Left,S_subparietal,Thickness StdDev,0.4823529411764706,2.517039559189693e-09,1.7881049028483578e-05
With T2 and MPRAGE Flag,Left,S_temporal_inf,Average Thickness,0.4235294117647059,3.223678374248977e-07,0.0022901011170664734
With T2 and MPRAGE Flag,Left,S_temporal_sup,Average Thickness,0.5176470588235295,9.537994392598736e-11,6.775791216502142e-07
With T2 and MPRAGE Flag,Left,S_temporal_sup,Thickness StdDev,0.5176470588235295,9.537994392598736e-11,6.775791216502142e-07
With T2 and MPRAGE Flag,Right,G&S_cingul-Ant,Average Thickness,0.5058823529411764,2.9295268491553263e-10,2.081135873639944e-06
With T2 and MPRAGE Flag,Right,G&S_cingul-Ant,Thickness StdDev,0.49411764705882355,8.720452016090274e-10,6.195009112230531e-06
With T2 and MPRAGE Flag,Right,G&S_cingul-Mid-Ant,Average Thickness,0.4117647058823529,7.801301665682524e-07,0.005542044703300865
With T2 and MPRAGE Flag,Right,G&S_cingul-Mid-Post,Average Thickness,0.4588235294117647,1.915138795035636e-08,0.00013605145999933158
With T2 and MPRAGE Flag,Right,G&S_frontomargin,Average Thickness,0.38823529411764707,4.200700896905974e-06,0.02984177917162004
With T2 and MPRAGE Flag,Right,G&S_frontomargin,Thickness StdDev,0.6705882352941176,1.9314235542764183e-18,1.3720832929579676e-14
With T2 and MPRAGE Flag,Right,G&S_transv_frontopol,Thickness StdDev,0.6588235294117647,9.457315334732807e-18,6.718476813794187e-14
With T2 and MPRAGE Flag,Right,G_front_inf-Orbital,Thickness StdDev,0.43529411764705883,1.2947560683459007e-07,0.0009197947109529279
With T2 and MPRAGE Flag,Right,G_front_inf-Triangul,Thickness StdDev,0.4,1.8356003919252995e-06,0.013040105184237328
With T2 and MPRAGE Flag,Right,G_front_middle,Thickness StdDev,0.5647058823529412,7.753698227352993e-13,5.508227220711566e-09
With T2 and MPRAGE Flag,Right,G_front_sup,Thickness StdDev,0.43529411764705883,1.2947560683459007e-07,0.0009197947109529279
With T2 and MPRAGE Flag,Right,G_orbital,Thickness StdDev,0.5176470588235295,9.537994392598736e-11,6.775791216502142e-07
With T2 and MPRAGE Flag,Right,G_pariet_inf-Angular,Thickness StdDev,0.5176470588235295,9.537994392598736e-11,6.775791216502142e-07
With T2 and MPRAGE Flag,Right,G_parietal_sup,Thickness StdDev,0.5411764705882353,9.185150207787391e-12,6.525130707612163e-08
With T2 and MPRAGE Flag,Right,G_precuneus,Thickness StdDev,0.4,1.8356003919252995e-06,0.013040105184237328
With T2 and MPRAGE Flag,Right,G_subcallosal,Average Thickness,0.4470588235294118,5.052706608179125e-08,0.00035894427744504506
With T2 and MPRAGE Flag,Right,G_temp_sup-Lateral,Thickness StdDev,0.5294117647058824,3.0081366930503705e-11,2.1369803067429833e-07
With T2 and MPRAGE Flag,Right,G_temp_sup-Plan_polar,Average Thickness,0.4588235294117647,1.915138795035636e-08,0.00013605145999933158
With T2 and MPRAGE Flag,Right,G_temp_sup-Plan_tempo,Thickness StdDev,0.43529411764705883,1.2947560683459007e-07,0.0009197947109529279
With T2 and MPRAGE Flag,Right,G_temporal_inf,Thickness StdDev,0.4235294117647059,3.223678374248977e-07,0.0022901011170664734
With T2 and MPRAGE Flag,Right,G_temporal_middle,Thickness StdDev,0.38823529411764707,4.200700896905974e-06,0.02984177917162004
With T2 and MPRAGE Flag,Right,Lat_Fis-ant-Horizont,Average Thickness,0.4470588235294118,5.052706608179125e-08,0.00035894427744504506
With T2 and MPRAGE Flag,Right,Lat_Fis-post,Average Thickness,0.5058823529411764,2.9295268491553263e-10,2.081135873639944e-06
With T2 and MPRAGE Flag,Right,Lat_Fis-post,Thickness StdDev,0.5294117647058824,3.0081366930503705e-11,2.1369803067429833e-07
With T2 and MPRAGE Flag,Right,Pole_temporal,Thickness StdDev,0.5058823529411764,2.9295268491553263e-10,2.081135873639944e-06
With T2 and MPRAGE Flag,Right,S_calcarine,Average Thickness,0.4588235294117647,1.915138795035636e-08,0.00013605145999933158
With T2 and MPRAGE Flag,Right,S_central,Average Thickness,0.6470588235294118,4.444938207324419e-17,3.1576841024832675e-13
With T2 and MPRAGE Flag,Right,S_cingul-Marginalis,Average Thickness,0.5764705882352941,2.1409465254631397e-13,1.5209284116890145e-09
With T2 and MPRAGE Flag,Right,S_cingul-Marginalis,Thickness StdDev,0.4117647058823529,7.801301665682524e-07,0.005542044703300865
With T2 and MPRAGE Flag,Right,S_circular_insula_inf,Average Thickness,0.47058823529411764,7.047710765731141e-09,5.0066937279754025e-05
With T2 and MPRAGE Flag,Right,S_circular_insula_sup,Average Thickness,0.6352941176470588,2.0073914484690925e-16,1.4260508849924432e-12
With T2 and MPRAGE Flag,Right,S_front_inf,Average Thickness,0.5176470588235295,9.537994392598736e-11,6.775791216502142e-07
With T2 and MPRAGE Flag,Right,S_front_inf,Thickness StdDev,0.4823529411764706,2.517039559189693e-09,1.7881049028483578e-05
With T2 and MPRAGE Flag,Right,S_front_middle,Average Thickness,0.5764705882352941,2.1409465254631397e-13,1.5209284116890145e-09
With T2 and MPRAGE Flag,Right,S_front_middle,Thickness StdDev,0.5529411764705883,2.7137943795735474e-12,1.927879527249048e-08
With T2 and MPRAGE Flag,Right,S_front_sup,Average Thickness,0.4823529411764706,2.517039559189693e-09,1.7881049028483578e-05
With T2 and MPRAGE Flag,Right,S_front_sup,Thickness StdDev,0.5058823529411764,2.9295268491553263e-10,2.081135873639944e-06
With T2 and MPRAGE Flag,Right,S_interm_prim-Jensen,Average Thickness,0.4470588235294118,5.052706608179125e-08,0.00035894427744504506
With T2 and MPRAGE Flag,Right,S_intrapariet&P_trans,Average Thickness,0.5294117647058824,3.0081366930503705e-11,2.1369803067429833e-07
With T2 and MPRAGE Flag,Right,S_intrapariet&P_trans,Thickness StdDev,0.5294117647058824,3.0081366930503705e-11,2.1369803067429833e-07
With T2 and MPRAGE Flag,Right,S_oc-temp_med&Lingual,Average Thickness,0.4,1.8356003919252995e-06,0.013040105184237328
With T2 and MPRAGE Flag,Right,S_orbital-H_Shaped,Average Thickness,0.49411764705882355,8.720452016090274e-10,6.195009112230531e-06
With T2 and MPRAGE Flag,Right,S_orbital-H_Shaped,Thickness StdDev,0.611764705882353,3.6463809436111864e-15,2.590389022341387e-11
With T2 and MPRAGE Flag,Right,S_orbital_lateral,Average Thickness,0.4823529411764706,2.517039559189693e-09,1.7881049028483578e-05
With T2 and MPRAGE Flag,Right,S_orbital_lateral,Thickness StdDev,0.4588235294117647,1.915138795035636e-08,0.00013605145999933158
With T2 and MPRAGE Flag,Right,S_orbital_med-olfact,Average Thickness,0.5411764705882353,9.185150207787391e-12,6.525130707612163e-08
With T2 and MPRAGE Flag,Right,S_parieto_occipital,Average Thickness,0.38823529411764707,4.200700896905974e-06,0.02984177917162004
With T2 and MPRAGE Flag,Right,S_postcentral,Average Thickness,0.5058823529411764,2.9295268491553263e-10,2.081135873639944e-06
With T2 and MPRAGE Flag,Right,S_postcentral,Thickness StdDev,0.5176470588235295,9.537994392598736e-11,6.775791216502142e-07
With T2 and MPRAGE Flag,Right,S_precentral-inf-part,Average Thickness,0.4470588235294118,5.052706608179125e-08,0.00035894427744504506
With T2 and MPRAGE Flag,Right,S_precentral-inf-part,Thickness StdDev,0.38823529411764707,4.200700896905974e-06,0.02984177917162004
With T2 and MPRAGE Flag,Right,S_precentral-sup-part,Average Thickness,0.4235294117647059,3.223678374248977e-07,0.0022901011170664734
With T2 and MPRAGE Flag,Right,S_suborbital,Average Thickness,0.5176470588235295,9.537994392598736e-11,6.775791216502142e-07
With T2 and MPRAGE Flag,Right,S_subparietal,Thickness StdDev,0.4117647058823529,7.801301665682524e-07,0.005542044703300865
With T2 and MPRAGE Flag,Right,S_temporal_sup,Average Thickness,0.6705882352941176,1.9314235542764183e-18,1.3720832929579676e-14
With T2 and MPRAGE Flag,Right,S_temporal_sup,Thickness StdDev,0.4,1.8356003919252995e-06,0.013040105184237328
With T2 and MPRAGE Flag and 3T Flag,Left,G&S_cingul-Ant,Average Thickness,0.4823529411764706,2.517039559189693e-09,1.7881049028483578e-05
With T2 and MPRAGE Flag and 3T Flag,Left,G&S_cingul-Mid-Ant,Average Thickness,0.47058823529411764,7.047710765731141e-09,5.0066937279754025e-05
With T2 and MPRAGE Flag and 3T Flag,Left,G&S_cingul-Mid-Post,Average Thickness,0.4823529411764706,2.517039559189693e-09,1.7881049028483578e-05
With T2 and MPRAGE Flag and 3T Flag,Left,G&S_frontomargin,Average Thickness,0.5882352941176471,5.709190734568372e-14,4.055809097837372e-10
With T2 and MPRAGE Flag and 3T Flag,Left,G&S_frontomargin,Thickness StdDev,0.49411764705882355,8.720452016090274e-10,6.195009112230531e-06
With T2 and MPRAGE Flag and 3T Flag,Left,G&S_paracentral,Average Thickness,0.5294117647058824,3.0081366930503705e-11,2.1369803067429833e-07
With T2 and MPRAGE Flag and 3T Flag,Left,G_front_middle,Average Thickness,0.4235294117647059,3.223678374248977e-07,0.0022901011170664734
With T2 and MPRAGE Flag and 3T Flag,Left,G_front_sup,Average Thickness,0.5882352941176471,5.709190734568372e-14,4.055809097837372e-10
With T2 and MPRAGE Flag and 3T Flag,Left,G_orbital,Average Thickness,0.5058823529411764,2.9295268491553263e-10,2.081135873639944e-06
With T2 and MPRAGE Flag and 3T Flag,Left,G_pariet_inf-Supramar,Thickness StdDev,0.4235294117647059,3.223678374248977e-07,0.0022901011170664734
With T2 and MPRAGE Flag and 3T Flag,Left,G_parietal_sup,Average Thickness,0.4,1.8356003919252995e-06,0.013040105184237328
With T2 and MPRAGE Flag and 3T Flag,Left,G_parietal_sup,Thickness StdDev,0.4470588235294118,5.052706608179125e-08,0.00035894427744504506
With T2 and MPRAGE Flag and 3T Flag,Left,G_postcentral,Average Thickness,0.4117647058823529,7.801301665682524e-07,0.005542044703300865
With T2 and MPRAGE Flag and 3T Flag,Left,G_temp_sup-Plan_polar,Average Thickness,0.5058823529411764,2.9295268491553263e-10,2.081135873639944e-06
With T2 and MPRAGE Flag and 3T Flag,Left,G_temp_sup-Plan_tempo,Average Thickness,0.4117647058823529,7.801301665682524e-07,0.005542044703300865
With T2 and MPRAGE Flag and 3T Flag,Left,G_temp_sup-Plan_tempo,Thickness StdDev,0.4588235294117647,1.915138795035636e-08,0.00013605145999933158
With T2 and MPRAGE Flag and 3T Flag,Left,G_temporal_inf,Average Thickness,0.47058823529411764,7.047710765731141e-09,5.0066937279754025e-05
With T2 and MPRAGE Flag and 3T Flag,Left,Lat_Fis-ant-Horizont,Average Thickness,0.49411764705882355,8.720452016090274e-10,6.195009112230531e-06
With T2 and MPRAGE Flag and 3T Flag,Left,Lat_Fis-ant-Vertical,Average Thickness,0.47058823529411764,7.047710765731141e-09,5.0066937279754025e-05
With T2 and MPRAGE Flag and 3T Flag,Left,Lat_Fis-post,Average Thickness,0.5294117647058824,3.0081366930503705e-11,2.1369803067429833e-07
With T2 and MPRAGE Flag and 3T Flag,Left,Pole_temporal,Thickness StdDev,0.4117647058823529,7.801301665682524e-07,0.005542044703300865
With T2 and MPRAGE Flag and 3T Flag,Left,S_calcarine,Average Thickness,0.5411764705882353,9.185150207787391e-12,6.525130707612163e-08
With T2 and MPRAGE Flag and 3T Flag,Left,S_central,Average Thickness,0.611764705882353,3.6463809436111864e-15,2.590389022341387e-11
With T2 and MPRAGE Flag and 3T Flag,Left,S_cingul-Marginalis,Average Thickness,0.6705882352941176,1.9314235542764183e-18,1.3720832929579676e-14
With T2 and MPRAGE Flag and 3T Flag,Left,S_cingul-Marginalis,Thickness StdDev,0.4117647058823529,7.801301665682524e-07,0.005542044703300865
With T2 and MPRAGE Flag and 3T Flag,Left,S_circular_insula_ant,Average Thickness,0.6705882352941176,1.9314235542764183e-18,1.3720832929579676e-14
With T2 and MPRAGE Flag and 3T Flag,Left,S_circular_insula_inf,Average Thickness,0.6,1.4692770272786253e-14,1.0437744001787354e-10
With T2 and MPRAGE Flag and 3T Flag,Left,S_circular_insula_sup,Average Thickness,0.7176470588235294,2.177174745555717e-21,1.5466649392427815e-17
With T2 and MPRAGE Flag and 3T Flag,Left,S_collat_transv_ant,Average Thickness,0.38823529411764707,4.200700896905974e-06,0.02984177917162004
With T2 and MPRAGE Flag and 3T Flag,Left,S_front_inf,Average Thickness,0.611764705882353,3.6463809436111864e-15,2.590389022341387e-11
With T2 and MPRAGE Flag and 3T Flag,Left,S_front_inf,Thickness StdDev,0.6352941176470588,2.0073914484690925e-16,1.4260508849924432e-12
With T2 and MPRAGE Flag and 3T Flag,Left,S_front_middle,Average Thickness,0.7058823529411765,1.2714700514045389e-20,9.032523245177844e-17
With T2 and MPRAGE Flag and 3T Flag,Left,S_front_middle,Thickness StdDev,0.4588235294117647,1.915138795035636e-08,0.00013605145999933158
With T2 and MPRAGE Flag and 3T Flag,Left,S_front_sup,Average Thickness,0.6352941176470588,2.0073914484690925e-16,1.4260508849924432e-12
With T2 and MPRAGE Flag and 3T Flag,Left,S_intrapariet&P_trans,Average Thickness,0.6588235294117647,9.457315334732807e-18,6.718476813794187e-14
With T2 and MPRAGE Flag and 3T Flag,Left,S_intrapariet&P_trans,Thickness StdDev,0.49411764705882355,8.720452016090274e-10,6.195009112230531e-06
With T2 and MPRAGE Flag and 3T Flag,Left,S_oc-temp_lat,Average Thickness,0.43529411764705883,1.2947560683459007e-07,0.0009197947109529279
With T2 and MPRAGE Flag and 3T Flag,Left,S_oc-temp_med&Lingual,Average Thickness,0.4823529411764706,2.517039559189693e-09,1.7881049028483578e-05
With T2 and MPRAGE Flag and 3T Flag,Left,S_oc_sup&transversal,Average Thickness,0.4235294117647059,3.223678374248977e-07,0.0022901011170664734
With T2 and MPRAGE Flag and 3T Flag,Left,S_occipital_ant,Average Thickness,0.43529411764705883,1.2947560683459007e-07,0.0009197947109529279
With T2 and MPRAGE Flag and 3T Flag,Left,S_occipital_ant,Thickness StdDev,0.4117647058823529,7.801301665682524e-07,0.005542044703300865
With T2 and MPRAGE Flag and 3T Flag,Left,S_orbital-H_Shaped,Average Thickness,0.5411764705882353,9.185150207787391e-12,6.525130707612163e-08
With T2 and MPRAGE Flag and 3T Flag,Left,S_orbital_lateral,Average Thickness,0.5294117647058824,3.0081366930503705e-11,2.1369803067429833e-07
With T2 and MPRAGE Flag and 3T Flag,Left,S_orbital_med-olfact,Average Thickness,0.49411764705882355,8.720452016090274e-10,6.195009112230531e-06
With T2 and MPRAGE Flag and 3T Flag,Left,S_parieto_occipital,Average Thickness,0.49411764705882355,8.720452016090274e-10,6.195009112230531e-06
With T2 and MPRAGE Flag and 3T Flag,Left,S_postcentral,Average Thickness,0.6941176470588235,7.090890671294544e-20,5.037368732887644e-16
With T2 and MPRAGE Flag and 3T Flag,Left,S_postcentral,Thickness StdDev,0.5294117647058824,3.0081366930503705e-11,2.1369803067429833e-07
With T2 and MPRAGE Flag and 3T Flag,Left,S_precentral-inf-part,Average Thickness,0.4588235294117647,1.915138795035636e-08,0.00013605145999933158
With T2 and MPRAGE Flag and 3T Flag,Left,S_precentral-inf-part,Thickness StdDev,0.4,1.8356003919252995e-06,0.013040105184237328
With T2 and MPRAGE Flag and 3T Flag,Left,S_precentral-sup-part,Average Thickness,0.43529411764705883,1.2947560683459007e-07,0.0009197947109529279
With T2 and MPRAGE Flag and 3T Flag,Left,S_precentral-sup-part,Thickness StdDev,0.4117647058823529,7.801301665682524e-07,0.005542044703300865
With T2 and MPRAGE Flag and 3T Flag,Left,S_suborbital,Average Thickness,0.5882352941176471,5.709190734568372e-14,4.055809097837372e-10
With T2 and MPRAGE Flag and 3T Flag,Left,S_subparietal,Average Thickness,0.47058823529411764,7.047710765731141e-09,5.0066937279754025e-05
With T2 and MPRAGE Flag and 3T Flag,Left,S_subparietal,Thickness StdDev,0.47058823529411764,7.047710765731141e-09,5.0066937279754025e-05
With T2 and MPRAGE Flag and 3T Flag,Left,S_temporal_inf,Average Thickness,0.5058823529411764,2.9295268491553263e-10,2.081135873639944e-06
With T2 and MPRAGE Flag and 3T Flag,Left,S_temporal_sup,Average Thickness,0.5529411764705883,2.7137943795735474e-12,1.927879527249048e-08
With T2 and MPRAGE Flag and 3T Flag,Left,S_temporal_sup,Thickness StdDev,0.5294117647058824,3.0081366930503705e-11,2.1369803067429833e-07
With T2 and MPRAGE Flag and 3T Flag,Right,G&S_cingul-Ant,Average Thickness,0.6823529411764706,3.7818083580237564e-19,2.6865966575400766e-15
With T2 and MPRAGE Flag and 3T Flag,Right,G&S_cingul-Ant,Thickness StdDev,0.5058823529411764,2.9295268491553263e-10,2.081135873639944e-06
With T2 and MPRAGE Flag and 3T Flag,Right,G&S_cingul-Mid-Ant,Average Thickness,0.5411764705882353,9.185150207787391e-12,6.525130707612163e-08
With T2 and MPRAGE Flag and 3T Flag,Right,G&S_cingul-Mid-Post,Average Thickness,0.49411764705882355,8.720452016090274e-10,6.195009112230531e-06
With T2 and MPRAGE Flag and 3T Flag,Right,G&S_frontomargin,Average Thickness,0.5294117647058824,3.0081366930503705e-11,2.1369803067429833e-07
With T2 and MPRAGE Flag and 3T Flag,Right,G&S_frontomargin,Thickness StdDev,0.4588235294117647,1.915138795035636e-08,0.00013605145999933158
With T2 and MPRAGE Flag and 3T Flag,Right,G&S_paracentral,Average Thickness,0.5529411764705883,2.7137943795735474e-12,1.927879527249048e-08
With T2 and MPRAGE Flag and 3T Flag,Right,G&S_transv_frontopol,Average Thickness,0.43529411764705883,1.2947560683459007e-07,0.0009197947109529279
With T2 and MPRAGE Flag and 3T Flag,Right,G&S_transv_frontopol,Thickness StdDev,0.5294117647058824,3.0081366930503705e-11,2.1369803067429833e-07
With T2 and MPRAGE Flag and 3T Flag,Right,G_front_inf-Orbital,Thickness StdDev,0.43529411764705883,1.2947560683459007e-07,0.0009197947109529279
With T2 and MPRAGE Flag and 3T Flag,Right,G_front_sup,Average Thickness,0.6352941176470588,2.0073914484690925e-16,1.4260508849924432e-12
With T2 and MPRAGE Flag and 3T Flag,Right,G_orbital,Average Thickness,0.4823529411764706,2.517039559189693e-09,1.7881049028483578e-05
With T2 and MPRAGE Flag and 3T Flag,Right,G_orbital,Thickness StdDev,0.49411764705882355,8.720452016090274e-10,6.195009112230531e-06
With T2 and MPRAGE Flag and 3T Flag,Right,G_pariet_inf-Angular,Thickness StdDev,0.4,1.8356003919252995e-06,0.013040105184237328
With T2 and MPRAGE Flag and 3T Flag,Right,G_parietal_sup,Thickness StdDev,0.4470588235294118,5.052706608179125e-08,0.00035894427744504506
With T2 and MPRAGE Flag and 3T Flag,Right,G_precentral,Average Thickness,0.4117647058823529,7.801301665682524e-07,0.005542044703300865
With T2 and MPRAGE Flag and 3T Flag,Right,G_rectus,Average Thickness,0.4117647058823529,7.801301665682524e-07,0.005542044703300865
With T2 and MPRAGE Flag and 3T Flag,Right,G_temp_sup-Lateral,Thickness StdDev,0.43529411764705883,1.2947560683459007e-07,0.0009197947109529279
With T2 and MPRAGE Flag and 3T Flag,Right,G_temp_sup-Plan_polar,Average Thickness,0.4470588235294118,5.052706608179125e-08,0.00035894427744504506
With T2 and MPRAGE Flag and 3T Flag,Right,G_temp_sup-Plan_tempo,Average Thickness,0.38823529411764707,4.200700896905974e-06,0.02984177917162004
With T2 and MPRAGE Flag and 3T Flag,Right,G_temporal_inf,Average Thickness,0.4117647058823529,7.801301665682524e-07,0.005542044703300865
With T2 and MPRAGE Flag and 3T Flag,Right,Lat_Fis-ant-Horizont,Average Thickness,0.4823529411764706,2.517039559189693e-09,1.7881049028483578e-05
With T2 and MPRAGE Flag and 3T Flag,Right,Lat_Fis-post,Average Thickness,0.5176470588235295,9.537994392598736e-11,6.775791216502142e-07
With T2 and MPRAGE Flag and 3T Flag,Right,Lat_Fis-post,Thickness StdDev,0.4470588235294118,5.052706608179125e-08,0.00035894427744504506
With T2 and MPRAGE Flag and 3T Flag,Right,Pole_temporal,Average Thickness,0.4,1.8356003919252995e-06,0.013040105184237328
With T2 and MPRAGE Flag and 3T Flag,Right,Pole_temporal,Thickness StdDev,0.4470588235294118,5.052706608179125e-08,0.00035894427744504506
With T2 and MPRAGE Flag and 3T Flag,Right,S_calcarine,Average Thickness,0.4823529411764706,2.517039559189693e-09,1.7881049028483578e-05
With T2 and MPRAGE Flag and 3T Flag,Right,S_central,Average Thickness,0.6588235294117647,9.457315334732807e-18,6.718476813794187e-14
With T2 and MPRAGE Flag and 3T Flag,Right,S_cingul-Marginalis,Average Thickness,0.6,1.4692770272786253e-14,1.0437744001787354e-10
With T2 and MPRAGE Flag and 3T Flag,Right,S_cingul-Marginalis,Thickness StdDev,0.4117647058823529,7.801301665682524e-07,0.005542044703300865
With T2 and MPRAGE Flag and 3T Flag,Right,S_circular_insula_inf,Average Thickness,0.5294117647058824,3.0081366930503705e-11,2.1369803067429833e-07
With T2 and MPRAGE Flag and 3T Flag,Right,S_circular_insula_sup,Average Thickness,0.6823529411764706,3.7818083580237564e-19,2.6865966575400766e-15
With T2 and MPRAGE Flag and 3T Flag,Right,S_collat_transv_ant,Average Thickness,0.4823529411764706,2.517039559189693e-09,1.7881049028483578e-05
With T2 and MPRAGE Flag and 3T Flag,Right,S_front_inf,Average Thickness,0.611764705882353,3.6463809436111864e-15,2.590389022341387e-11
With T2 and MPRAGE Flag and 3T Flag,Right,S_front_inf,Thickness StdDev,0.49411764705882355,8.720452016090274e-10,6.195009112230531e-06
With T2 and MPRAGE Flag and 3T Flag,Right,S_front_middle,Average Thickness,0.6823529411764706,3.7818083580237564e-19,2.6865966575400766e-15
With T2 and MPRAGE Flag and 3T Flag,Right,S_front_middle,Thickness StdDev,0.49411764705882355,8.720452016090274e-10,6.195009112230531e-06
With T2 and MPRAGE Flag and 3T Flag,Right,S_front_sup,Average Thickness,0.611764705882353,3.6463809436111864e-15,2.590389022341387e-11
With T2 and MPRAGE Flag and 3T Flag,Right,S_front_sup,Thickness StdDev,0.38823529411764707,4.200700896905974e-06,0.02984177917162004
With T2 and MPRAGE Flag and 3T Flag,Right,S_interm_prim-Jensen,Average Thickness,0.4470588235294118,5.052706608179125e-08,0.00035894427744504506
With T2 and MPRAGE Flag and 3T Flag,Right,S_intrapariet&P_trans,Average Thickness,0.5882352941176471,5.709190734568372e-14,4.055809097837372e-10
With T2 and MPRAGE Flag and 3T Flag,Right,S_intrapariet&P_trans,Thickness StdDev,0.4823529411764706,2.517039559189693e-09,1.7881049028483578e-05
With T2 and MPRAGE Flag and 3T Flag,Right,S_oc-temp_lat,Average Thickness,0.38823529411764707,4.200700896905974e-06,0.02984177917162004
With T2 and MPRAGE Flag and 3T Flag,Right,S_oc-temp_med&Lingual,Average Thickness,0.4235294117647059,3.223678374248977e-07,0.0022901011170664734
With T2 and MPRAGE Flag and 3T Flag,Right,S_orbital-H_Shaped,Average Thickness,0.6941176470588235,7.090890671294544e-20,5.037368732887644e-16
With T2 and MPRAGE Flag and 3T Flag,Right,S_orbital-H_Shaped,Thickness StdDev,0.49411764705882355,8.720452016090274e-10,6.195009112230531e-06
With T2 and MPRAGE Flag and 3T Flag,Right,S_orbital_lateral,Average Thickness,0.5764705882352941,2.1409465254631397e-13,1.5209284116890145e-09
With T2 and MPRAGE Flag and 3T Flag,Right,S_orbital_lateral,Thickness StdDev,0.38823529411764707,4.200700896905974e-06,0.02984177917162004
With T2 and MPRAGE Flag and 3T Flag,Right,S_orbital_med-olfact,Average Thickness,0.611764705882353,3.6463809436111864e-15,2.590389022341387e-11
With T2 and MPRAGE Flag and 3T Flag,Right,S_parieto_occipital,Average Thickness,0.4235294117647059,3.223678374248977e-07,0.0022901011170664734
With T2 and MPRAGE Flag and 3T Flag,Right,S_postcentral,Average Thickness,0.5294117647058824,3.0081366930503705e-11,2.1369803067429833e-07
With T2 and MPRAGE Flag and 3T Flag,Right,S_postcentral,Thickness StdDev,0.5294117647058824,3.0081366930503705e-11,2.1369803067429833e-07
With T2 and MPRAGE Flag and 3T Flag,Right,S_precentral-inf-part,Average Thickness,0.5058823529411764,2.9295268491553263e-10,2.081135873639944e-06
With T2 and MPRAGE Flag and 3T Flag,Right,S_precentral-inf-part,Thickness StdDev,0.38823529411764707,4.200700896905974e-06,0.02984177917162004
With T2 and MPRAGE Flag and 3T Flag,Right,S_precentral-sup-part,Average Thickness,0.4823529411764706,2.517039559189693e-09,1.7881049028483578e-05
With T2 and MPRAGE Flag and 3T Flag,Right,S_suborbital,Average Thickness,0.5764705882352941,2.1409465254631397e-13,1.5209284116890145e-09
With T2 and MPRAGE Flag and 3T Flag,Right,S_subparietal,Average Thickness,0.4117647058823529,7.801301665682524e-07,0.005542044703300865
With T2 and MPRAGE Flag and 3T Flag,Right,S_subparietal,Thickness StdDev,0.4117647058823529,7.801301665682524e-07,0.005542044703300865
With T2 and MPRAGE Flag and 3T Flag,Right,S_temporal_sup,Average Thickness,0.7176470588235294,2.177174745555717e-21,1.5466649392427815e-17
With T2 and MPRAGE Flag and 3T Flag,Right,S_temporal_sup,Thickness StdDev,0.4,1.8356003919252995e-06,0.013040105184237328
